A/C/D/U,Valid-From Date,Valid To Date,Offer Display Name,Offer ID,License Agreement Type,Purchase Unit,Secondary License Type,End Customer Type,List Price,ERP Price,Material
UNC,20200401,99991231,Dynamics 365 Marketing for Students,00b75335-3cce-4b08-acd6-2b795f922137,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,2832,3776,AAD-11546
UNC,20200401,99991231,Dynamics 365 Plan - Operations Additional File Storage (Qualified Offer),466c1866-e335-4277-bfa0-5189c23b951a,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,4.4,6.3,AAA-43635
UNC,20200401,99991231,Dynamics 365 Plan - Operations Additional File Storage (Qualified Offer) for Faculty,015f6e33-cb92-4e8a-b3e7-946c20dd2e8a,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,2.4,3.5,AAA-43639
UNC,20200401,99991231,Dynamics 365 Plan - Operations Additional File Storage (Qualified Offer) for Students,6365af7b-d7fa-4f7b-8755-946daf8573fd,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,1.76,2.5,AAA-43640
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Additional Database Storage (Qualified Offer),b26aa30c-1de1-4f43-ac81-910442cf5335,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,22,31.5,AAA-43629
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Additional Database Storage (Qualified Offer) for Faculty,a6d9afb1-9782-4db7-a2c7-ef0642b7c096,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,12.1,17.3,AAA-43631
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Additional Database Storage (Qualified Offer) for Students,f934020a-7e3c-4703-8ecb-a193011bb38e,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,8.8,12.6,AAA-43632
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Sandbox Tier 1:Developer & Test Instance,7c362aff-7c7a-41f1-b6c1-d3406bb74dac,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,1872.3,2674.7,AAA-43641
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Sandbox Tier 1:Developer & Test Instance for Faculty,b8bf0a36-80d1-4fbf-8cf7-1176221651aa,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,1029.8,1471.1,AAA-43643
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Sandbox Tier 2:Standard Acceptance Testing,2ff677d8-e55c-4a9f-ab2d-8774a80bd52d,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,5947.3,8496.1,AAA-43653
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Sandbox Tier 2:Standard Acceptance Testing for Faculty,347756ec-46d1-43e6-baab-39a6b185239d,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,3271,4672.8,AAA-43623
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Sandbox Tier 3:Premier Acceptance Testing,7b0cdb70-934a-4592-9008-595c22e9d35a,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,17841.8,25488.3,AAA-43625
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Sandbox Tier 3:Premier Acceptance Testing for Faculty,ad535433-e845-4d9d-ac9e-859bf6c7667f,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,9813,14018.5,AAA-43627
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Sandbox Tier 4:Standard Performance Testing,6d5cc8e4-15b8-4297-a7d3-b22aacbb29fb,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,34802.5,49717.9,AAA-35230
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Sandbox Tier 4:Standard Performance Testing for Faculty,01c354cc-970f-4a64-9da1-582042a12896,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,19141.4,27344.8,AAA-43633
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Sandbox Tier 5:Premier Performance Testing,2d142966-93c9-45c3-b1fd-ad6c76294dc2,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,52864.6,75520.8,AAA-43645
UNC,20200401,99991231,Dynamics 365 Plan - Unified Operations Sandbox Tier 5:Premier Performance Testing for Faculty,bb3ce8c3-b9b4-4170-a929-4c5b0b138dc0,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,29075.5,41536.4,AAA-43649
UNC,20200401,99991231,Dynamics 365 Project Service Automation,df406c18-5deb-4f8b-9af3-0f743fffedc9,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,448.4,597.9,AAA-35796
UNC,20200401,99991231,Dynamics 365 Project Service Automation (Nonprofit Staff Pricing),a3fb5ee2-be6b-4aa3-8902-a33ff2e2a489,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,134.5,149.5,AAD-34686
UNC,20200401,99991231,Dynamics 365 Project Service Automation (Qualified Offer) (1000 seat minimum requirement),b5b7f367-1958-4a50-9554-4b86ba73861c,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,283.2,377.6,DFV-00010
UNC,20200401,99991231,Dynamics 365 Project Service Automation (Qualified Offer) (250 seat minimum requirement),f1a2fdb0-5ca8-475d-8ccc-9bb81c033da5,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,377.6,503.5,DFV-00008
UNC,20200401,99991231,Dynamics 365 Project Service Automation (Qualified Offer) (500 seat minimum requirement),b9756eb9-5199-496f-bb90-3c380e395e8b,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,330.4,440.5,DFV-00009
UNC,20200401,99991231,Dynamics 365 Project Service Automation for Faculty,6b63efaa-6ec5-4a22-a0ed-a275cd515ea2,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,246.6,328.8,AAA-35808
UNC,20200401,99991231,Dynamics 365 Project Service Automation for Students,05aa9dc1-f354-4691-8dd0-9149c580be98,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,179.4,239.1,AAA-35809
UNC,20200401,99991231,Dynamics 365 Remote Assist,09788e0b-05cf-47e9-b292-e4f4a34fe15e,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,327.3,409.1,AAD-29595
UNC,20200401,99991231,Dynamics 365 Remote Assist Attach,57e6e033-c16b-4f8a-9cb9-c76bb0c9ce2e,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,100.7,125.9,SRG-00003
UNC,20200401,99991231,Dynamics 365 Remote Assist Attach for Faculty,deb36286-e996-4b13-9c73-6394989e502c,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,55.4,69.2,SRH-00005
UNC,20200401,99991231,Dynamics 365 Remote Assist Attach for Faculty Trial,08b14d22-b25d-47d4-9747-62c61782b901,Academic,1 Month(s),TRIAL,CLOUD RESELLER FACULTY,0,0,SRH-00006
UNC,20200401,99991231,Dynamics 365 Remote Assist Attach for Students,811466cf-81e6-4d7b-9ff8-652819453fb6,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,40.3,50.3,SRH-00007
UNC,20200401,99991231,Dynamics 365 Remote Assist Attach for Students Trial,46e8cd70-287e-4e13-854b-a9258301b355,Academic,1 Month(s),TRIAL,CLOUD RESELLER STUDENT,0,0,SRH-00008
UNC,20200401,99991231,Dynamics 365 Remote Assist for Faculty,c3e6d9c3-5eff-4a1d-9369-dda3f11a7713,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,180,225,AAD-56921
UNC,20200401,99991231,Dynamics 365 Remote Assist for Faculty Trial,2f6119d8-fb07-45ce-a94d-1f59c4899ee6,Academic,1 Month(s),TRIAL,CLOUD RESELLER FACULTY,0,0,AAD-56922
UNC,20200401,99991231,Dynamics 365 Remote Assist for Students,ce6ebefa-cbed-4c61-9aa3-f88057bf1fe3,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,130.9,163.6,AAD-56923
UNC,20200401,99991231,Dynamics 365 Remote Assist for Students Trial,055a91de-9f00-4691-b42e-929d8c5ae413,Academic,1 Month(s),TRIAL,CLOUD RESELLER STUDENT,0,0,AAD-56924
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer,50e9a47a-7b4d-4970-9d90-cae927f53753,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,94.4,125.9,SAT-00003
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer (36 mo),3d727b27-6d45-4632-9dc4-8d673125abee,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,94.4,125.9,SAT-00008
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer (Nonprofit Staff Pricing),b14a4d4f-eae7-4bb2-a748-cacab58f5c6d,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,28.3,31.5,SAT-00004
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer (Qualified Offer) (100 seat minimum requirement),de9e4fce-5812-43ad-a6a3-2103ce8b49e7,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,47.2,62.9,SAT-00005
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer for Faculty,6df75c54-9475-468e-b0b5-359519116126,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,51.9,69.2,SAU-00003
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer for Faculty From SA From VL/DPL,28f5de73-cbe3-4723-a40c-3269fb803132,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,31.2,41.5,SVD-00001
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer for Students,a8960b8b-3fe5-4349-8ffd-b119696c771f,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,37.8,50.3,SAU-00004
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer for Students From SA From VL/DPL,79d86b88-1fdd-43bd-a6cb-0ba268e44613,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,22.7,30.2,SVD-00002
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer From SA From VL/DPL,e6cf957e-e3e6-4148-a3e2-aae34738c887,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,56.6,75.5,SAV-00003
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition,e5aeedc5-e2f0-4099-aa45-95802034d7f8,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,448.4,597.9,AAA-35786
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition (36 mo),13aedff3-04ca-43bd-a889-0ee152c47255,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,448.4,597.9,DGP-00025
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition (Nonprofit Staff Pricing),8817b694-eea3-43f3-9b0b-4dcec5fb9f47,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,134.5,149.5,AAD-14490
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition (Qualified Offer) (1000 seat minimum requirement),5ac82c27-0a46-412a-83c0-47a72acd304a,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,283.2,377.6,DGP-00022
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition (Qualified Offer) (250 seat minimum requirement),cc92cf59-840a-446d-944f-1c488af172ab,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,377.6,503.5,DGP-00020
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition (Qualified Offer) (500 seat minimum requirement),227cdcf5-07b4-4d14-9268-16ae116828c5,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,330.4,440.5,DGP-00021
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition Device,9fb981e1-9531-402e-875c-c69957137939,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,684.4,912.5,AAA-43226
