Customer,CustomerNo,Description,Quantity,Unit Price
CO:PLAY Advokatpartnerselskab,41110546,Microsoft 365 New Commerce Promotional Offer Annual - Power BI Pro - cycleCharge  9/28/2022-10/27/2022  September   ,12.00,717.00
CO:PLAY Advokatpartnerselskab,41110546,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft Teams Rooms Standard - cycleCharge  9/28/2022-10/27/2022  September   ,1.00,112.10
CO:PLAY Advokatpartnerselskab,41110546,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 1) - cycleCharge  9/28/2022-10/27/2022  September   ,3.00,71.81
CO:PLAY Advokatpartnerselskab,41110546,Microsoft 365 New Commerce Promotional Offer Annual - Office 365 E1 - cycleCharge  9/28/2022-10/27/2022  September   ,1.00,47.79
CO:PLAY Advokatpartnerselskab,41110546,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 E3 - cycleCharge  9/28/2022-10/27/2022  September   ,22.00,4896.93
