Customer,CustomerId,CustomerNo,Description,Quantity,Unit Price
cbgJensen.dk,3cbc57fe-362f-4193-b77c-fe40f42e30bd,39993775,Project Plan 3 - Project Plan 3 - cycleCharge 6/1/2024-6/30/2024  June   ,2.00,419.20
cbgJensen.dk,3cbc57fe-362f-4193-b77c-fe40f42e30bd,39993775,Visio Plan 2 - Visio Plan 2 - cycleCharge 6/1/2024-6/30/2024  June   ,2.00,209.60
cbgJensen.dk,3cbc57fe-362f-4193-b77c-fe40f42e30bd,39993775,Microsoft 365 E5 - Microsoft 365 E5 - renew 6/1/2024-6/30/2024  June   ,1.00,534.13
cbgJensen.dk,3cbc57fe-362f-4193-b77c-fe40f42e30bd,39993775,Office 365 E3 - Office 365 E3 - cycleCharge 6/1/2024-6/30/2024  June   ,3.00,560.70
