Customer,CustomerNo,Description,Quantity,Unit Price
Grønbech & Sønner,12069502,Microsoft Teams Rooms Standard - Microsoft Teams Rooms Standard - renew  2/28/2023-3/27/2023  February   ,1.00,118.00
Grønbech & Sønner,12069502,Exchange Online Kiosk - Exchange Online Kiosk - renew  2/28/2023-3/27/2023  February   ,1.00,12.60
Grønbech & Sønner,12069502,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - renew  2/28/2023-3/27/2023  February   ,87.00,4376.10
Grønbech & Sønner,12069502,Power BI Pro - Power BI Pro - renew 2/28/2023-3/27/2023  February   ,16.00,1006.40
Grønbech & Sønner,12069502,Visio Plan 2 - Visio Plan 2 - renew 2/28/2023-3/27/2023  February   ,6.00,566.40
Grønbech & Sønner,12069502,Microsoft 365 Business Premium - Microsoft 365 Business Premium - renew  2/28/2023-3/27/2023  February   ,195.00,27007.50
Grønbech & Sønner,12069502,Office 365 E3 - Office 365 E3 - renew 2/28/2023-3/27/2023  February   ,1.00,168.40
Grønbech & Sønner,12069502,Microsoft 365 F1 - Microsoft 365 F1 - renew 2/28/2023-3/27/2023  February   ,1.00,14.20
Grønbech & Sønner,12069502,Exchange Online (Plan 2) - Exchange Online (Plan 2) - renew  2/28/2023-3/27/2023  February   ,1.00,50.30
