Customer,CustomerId,CustomerNo,Description,Quantity,Unit Price
Humangartner,1798f74a-bc9e-4920-a1cc-8930f455a158,18131471,Microsoft 365 Business Standard - Microsoft 365 Business Standard - convert  3/6/2024-3/11/2024  March   ,1.00,18.06
Humangartner,1798f74a-bc9e-4920-a1cc-8930f455a158,18131471,Microsoft 365 Business Standard - Microsoft 365 Business Standard - cycleCharge  3/12/2024-4/11/2024  March   ,1.00,87.30
Humangartner,1798f74a-bc9e-4920-a1cc-8930f455a158,18131471,Microsoft Teams Essentials - Microsoft Teams Essentials - convert  3/6/2024-3/11/2024  March   ,1.00,-5.78
