Customer,CustomerNo,Description,Quantity,Unit Price
Delfi Technologies A/S,12552688,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  3/20/2023-3/23/2023  March   ,128.00,-2152.88
Delfi Technologies A/S,12552688,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  3/20/2023-3/23/2023  March   ,130.00,2186.52
Delfi Technologies A/S,12552688,Project Plan 5 - Project Plan 5 - renew 3/25/2023-3/24/2024  March   ,5.00,17651.10
Delfi Technologies A/S,12552688,Microsoft 365 Business Premium - Microsoft 365 Business Premium - cycleCharge  3/24/2023-4/23/2023  March   ,130.00,15304.25
Delfi Technologies A/S,12552688,Power BI Pro - Power BI Pro - cycleCharge 3/23/2023-4/22/2023  March   ,5.00,267.33
Delfi Technologies A/S,12552688,Microsoft 365 E3 - Microsoft 365 E3 - cycleCharge 3/23/2023-4/22/2023  March   ,6.00,1344.36
Delfi Technologies A/S,12552688,Microsoft 365 Business Premium - Microsoft 365 Business Premium - renew  3/23/2023-4/22/2023  March   ,10.00,1412.70
Delfi Technologies A/S,12552688,Exchange Online (Plan 1) - Exchange Online (Plan 1) - cycleCharge  3/23/2023-4/22/2023  March   ,1.00,21.42
