Customer,CustomerId,CustomerNo,Description,Quantity,Unit Price
P. Vesterholm Rengøring A/S,7600e0fd-5b2d-4092-92ef-939104a0700a,10537487,Office 365 Business Premium - Annually - Microsoft ,6.00,257.83
P. Vesterholm Rengøring A/S,7600e0fd-5b2d-4092-92ef-939104a0700a,10537487,Office 365 Business Premium - Annually - Microsoft ,7.00,100.26
P. Vesterholm Rengøring A/S,7600e0fd-5b2d-4092-92ef-939104a0700a,10537487,Office 365 Business Premium - Annually - Microsoft ,8.00,229.18
P. Vesterholm Rengøring A/S,7600e0fd-5b2d-4092-92ef-939104a0700a,10537487,Office 365 Business Premium - Annually - Microsoft ,8.00,5592.00
P. Vesterholm Rengøring A/S,7600e0fd-5b2d-4092-92ef-939104a0700a,10537487,Office 365 Business Premium - Annually - Microsoft ,6.00,-4709.65
