Customer,CustomerId,CustomerNo,Description,Quantity,Unit Price
SturupRaceway,23d864ed-1cc7-4e62-8e52-d2daa1bdceee,15154000,Office 365 Business Premium - Annually - Microsoft ,2.00,154.70
SturupRaceway,23d864ed-1cc7-4e62-8e52-d2daa1bdceee,15154000,Office 365 Business Premium - Annually - Microsoft ,3.00,25.79
SturupRaceway,23d864ed-1cc7-4e62-8e52-d2daa1bdceee,15154000,Office 365 Business Premium - Annually - Microsoft ,3.00,2097.00
SturupRaceway,23d864ed-1cc7-4e62-8e52-d2daa1bdceee,15154000,Office 365 Business Premium - Annually - Microsoft ,2.00,-1569.89
