Customer,CustomerNo,Description,Quantity,Unit Price
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Enterprise Mobility + Security E3 - cycleCharge  9/28/2022-10/27/2022  September   ,40.00,2527.00
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Office 365 E3 - cycleCharge  9/28/2022-10/27/2022  September   ,40.00,5567.00
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 1) - cycleCharge  9/28/2022-10/27/2022  September   ,4.00,95.75
