Customer,CustomerId,CustomerNo,Description,Quantity,Unit Price
Forsyning Helsingør,8162953c-5783-4d47-a2df-8d670bce00c6,32059325,Microsoft 365 Business Premium - Annually - ,222.00,409257.00
Forsyning Helsingør,8162953c-5783-4d47-a2df-8d670bce00c6,32059325,Microsoft 365 Audio Conferencing - Annually - ,208.00,54600.00
Forsyning Helsingør,8162953c-5783-4d47-a2df-8d670bce00c6,32059325,Microsoft Teams Phone Standard - Virtual User - ,40.00,0.00
Forsyning Helsingør,8162953c-5783-4d47-a2df-8d670bce00c6,32059325,Microsoft Teams Phone Standard - Annually - ,218.00,146169.00
Forsyning Helsingør,8162953c-5783-4d47-a2df-8d670bce00c6,32059325,Visio Plan 2 - Annually - Visio Plan 2 - Prorate ,10.00,12570.00
Forsyning Helsingør,8162953c-5783-4d47-a2df-8d670bce00c6,32059325,Project Plan 3 - Annually - Project Plan 3 - ,7.00,17598.00
