Customer,CustomerNo,Description,Quantity,Unit Price
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Enterprise Mobility + Security E3 - addQuantity  10/25/2022-10/27/2022  October   ,40.00,-252.50
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Office 365 E3 - addQuantity  10/25/2022-10/27/2022  October   ,40.00,-556.50
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Office 365 E3 - addQuantity  10/25/2022-10/27/2022  October   ,41.00,570.41
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Enterprise Mobility + Security E3 - addQuantity  10/25/2022-10/27/2022  October   ,41.00,258.81
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Enterprise Mobility + Security E3 - cycleCharge  10/28/2022-11/27/2022  October   ,41.00,2590.18
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Office 365 E3 - cycleCharge  10/28/2022-11/27/2022  October   ,41.00,5706.18
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 1) - cycleCharge  10/28/2022-11/27/2022  October   ,4.00,95.75
