Customer,CustomerId,CustomerNo,Description,Quantity,Unit Price
INTERN A/S,e27c3fbf-0c10-40dc-a2fa-2bc482a803e2,20284072,Microsoft 365 Business Premium - Microsoft 365 Business Premium - cycleCharge  10/28/2023-11/27/2023  October   ,14.00,1939.00
INTERN A/S,e27c3fbf-0c10-40dc-a2fa-2bc482a803e2,20284072,Project Plan 3 - Project Plan 3 - cycleCharge 10/28/2023-11/27/2023  October   ,8.00,1510.40
INTERN A/S,e27c3fbf-0c10-40dc-a2fa-2bc482a803e2,20284072,Office 365 F3 - Office 365 F3 - cycleCharge 10/28/2023-11/27/2023  October   ,11.00,277.20
INTERN A/S,e27c3fbf-0c10-40dc-a2fa-2bc482a803e2,20284072,Exchange Online (Plan 1) - Exchange Online (Plan 1) - cycleCharge  10/28/2023-11/27/2023  October   ,1.00,25.20
INTERN A/S,e27c3fbf-0c10-40dc-a2fa-2bc482a803e2,20284072,Microsoft 365 Business Basic - Microsoft 365 Business Basic - renew  10/1/2023-10/31/2023  October   ,3.00,150.83
