Customer,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Niels Henrik Rasmussen,Microsoft 365 Business Standard - Annually - Microsoft 365 Business Standard - Prorate fee when renew  9/3/2022-9/2/2023  September   ,1509.6,754.8,n/a,
NextM2M A/S,Microsoft 365 Business Basic - Monthly - Microsoft 365 Business Basic - Cycle fee  9/4/2022-10/3/2022  September   ,302,30.2,n/a,
NextM2M A/S,Microsoft 365 Business Voice (uden opkaldsabonnement) - Monthly - Microsoft 365 Business Voice (without Calling Plan) - Cycle fee  9/4/2022-10/3/2022  September   ,60.4,60.4,n/a,
NextM2M A/S,Visio Plan 2 - Monthly - Visio Plan 2 - Cycle fee 9/4/2022-10/3/2022  September   ,75.5,75.5,n/a,
NextM2M A/S,Microsoft 365 Phone System - Virtual User - Monthly - Microsoft Teams Phone Resource Account - Cycle fee  9/4/2022-10/3/2022  September   ,0,0,n/a,
NextM2M A/S,Microsoft 365 Business Premium - Monthly - Microsoft 365 Business Premium - Cycle fee  9/4/2022-10/3/2022  September   ,775.6,110.8,n/a,
NextM2M A/S,Microsoft 365 Business Voice (uden opkaldsabonnement) - Monthly - Microsoft 365 Business Voice (without Calling Plan) - Cycle fee  9/4/2022-10/3/2022  September   ,302,60.4,n/a,
Hi3G Denmark ApS,Dynamics 365 Sales Professional - Monthly - Dynamics 365 Sales Professional - Cycle fee  9/4/2022-10/3/2022  September   ,306.8,306.8,n/a,
Hi3G Denmark ApS,Microsoft 365 Phone System - Virtual User - Monthly - Microsoft Teams Phone Resource Account - Cycle fee  9/26/2022-10/25/2022  September   ,0,0,n/a,
Hi3G Denmark ApS,Microsoft 365 Business Voice (without calling plan) - Monthly - Microsoft 365 Business Voice (without Calling Plan) - Cycle fee  9/26/2022-10/25/2022  September   ,241.6,60.4,n/a,
Hi3G Denmark ApS,Microsoft 365 Business Basic - Monthly - Microsoft 365 Business Basic - Cycle fee  9/26/2022-10/25/2022  September   ,151.2,25.2,n/a,
MARTINE LIE Interior Concepts ApS,Exchange Online (plan 1) - Monthly - Exchange Online (Plan 1) - Cycle fee  9/8/2022-10/7/2022  September   ,20.1,20.1,n/a,
MARTINE LIE Interior Concepts ApS,Microsoft 365 Business Premium - Monthly - Microsoft 365 Business Premium - Prorate fee when renew  9/15/2022-10/14/2022  September   ,554,110.8,n/a,
Nordic Venture Partners,Exchange Online (plan 1) - Annually - Exchange Online (Plan 1) - Prorate fee when renew  9/12/2022-9/11/2023  September   ,482.4,241.2,n/a,
Nordic Venture Partners,Microsoft 365 Business Standard - Annually - Microsoft 365 Business Standard - Prorate fee when renew  9/12/2022-9/11/2023  September   ,754.8,754.8,n/a,
Wohlert Arkitekter,Office 365 Business Premium - Monthly - Microsoft 365 Business Standard - Cycle fee  9/13/2022-10/12/2022  September   ,125.8,62.9,n/a,
Wohlert Arkitekter,Exchange Online (plan 1) - Monthly - Exchange Online (Plan 1) - Cycle fee  9/13/2022-10/12/2022  September   ,40.2,20.1,n/a,
RackPeople ApS,Microsoft Teams Rooms Standard - Monthly - Microsoft Teams Rooms Standard - Cycle fee  9/18/2022-10/17/2022  September   ,283.2,94.4,n/a,
CANEA ApS,Office 365 Business Premium - Monthly - Microsoft 365 Business Standard - Cycle fee  9/19/2022-10/18/2022  September   ,125.8,62.9,n/a,
