Customer,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Norli Liv og Pension Livsforsikring A/S,Blob Storage - Blob Storage - Hot GRS - EU West - new  7/1/2022-7/31/2022  July   ,1.59,0.108,7.07505,1.99,n/a,0.65,1.30,0.03
Norli Liv og Pension Livsforsikring A/S,Premium SSD Managed Disks - Premium SSD Managed Disks - P15 - EU West - new  7/1/2022-7/31/2022  July   ,257.61,41.811428,7.07505,0.82,n/a,251.45,206.14,0.05
Norli Liv og Pension Livsforsikring A/S,Blob Storage - Blob Storage - Hot LRS - EU West - new  7/1/2022-7/31/2022  July   ,0.18,0.0043,7.07505,5.85,n/a,0.03,0.15,0.01
Norli Liv og Pension Livsforsikring A/S,Standard Page Blob v2 - Standard Page Blob v2 - LRS - EU West - new  7/1/2022-7/31/2022  July   ,12.81,0.045,7.07505,38.14,n/a,0.27,10.32,0.07
Norli Liv og Pension Livsforsikring A/S,Change Feed - Change Feed - Blob - EU West - new 7/1/2022-7/31/2022  July   ,0,1.3,7.07505,0.01,n/a,7.82,0.05,0.05
Norli Liv og Pension Livsforsikring A/S,Network Watcher - Network Watcher - new 7/1/2022-7/31/2022  July   ,0,0.001,7.07505,1.00,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,IP Addresses - IP Addresses - Basic IPv4 - new 7/1/2022-7/31/2022  July   ,3.35,0.0036,7.07505,124.80,n/a,0.02,2.70,0.02
Norli Liv og Pension Livsforsikring A/S,IP Addresses - IP Addresses - Standard IPv4 - new 7/1/2022-7/31/2022  July   ,119.39,0.005,7.07505,3176.80,n/a,0.03,95.52,0.01
Norli Liv og Pension Livsforsikring A/S,Tables - Tables - RA-GRS - new 7/1/2022-7/31/2022  July   ,0,0.075,7.07505,0.01,n/a,0.45,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Blob Storage - Blob Storage - Hot LRS - EU West - new  7/1/2022-7/31/2022  July   ,0,0.0196,7.07505,0.18,n/a,0.12,0.02,0.02
Norli Liv og Pension Livsforsikring A/S,Load Balancer - Load Balancer - new 7/1/2022-7/31/2022  July   ,139.81,0.025,7.07505,744.00,n/a,0.15,111.86,0.01
Norli Liv og Pension Livsforsikring A/S,Blob Storage - Blob Storage - Hot GRS - EU West - new  7/1/2022-7/31/2022  July   ,0.09,0.108,7.07505,0.17,n/a,0.65,0.11,0.04
Norli Liv og Pension Livsforsikring A/S,Virtual Machines Dv3 Series Windows - Virtual Machines Dv3 Series Windows - D2 v3 - EU West - new  7/1/2022-7/31/2022  July   ,972.01,0.212,7.07505,609.98,n/a,1.27,777.68,0.07
Norli Liv og Pension Livsforsikring A/S,Premium SSD Managed Disks - Premium SSD Managed Disks - P30 - EU West - new  7/1/2022-7/31/2022  July   ,1829.51,148.68,7.07505,1.64,n/a,894.13,1463.68,0.07
Norli Liv og Pension Livsforsikring A/S,Files - Files - LRS - new 7/1/2022-7/31/2022  July   ,2.2,0.06,7.07505,5.00,n/a,0.36,1.80,0.04
Norli Liv og Pension Livsforsikring A/S,Blob Storage - Blob Storage - Hot LRS - EU West - new  7/1/2022-7/31/2022  July   ,0.26,0.0043,7.07505,8.92,n/a,0.03,0.23,0.02
Norli Liv og Pension Livsforsikring A/S,Files v2 - Files v2 - Hot GRS - EU West - new 7/1/2022-7/31/2022  July   ,0.96,0.0541,7.07505,2.50,n/a,0.33,0.81,0.04
Norli Liv og Pension Livsforsikring A/S,Blob Storage - Blob Storage - Hot LRS - EU West - new  7/1/2022-7/31/2022  July   ,0,0.054,7.07505,0.00,n/a,0.32,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.045,7.07505,0.00,n/a,0.27,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,General Block Blob - General Block Blob - GRS - new  7/1/2022-7/31/2022  July   ,0,0.048,7.07505,0.05,n/a,0.29,0.01,0.01
Norli Liv og Pension Livsforsikring A/S,Azure Active Directory Domain Services - Azure Active Directory Domain Services - Standard - new  7/1/2022-7/31/2022  July   ,838.65,0.15,7.07505,743.79,n/a,0.90,670.95,0.03
Norli Liv og Pension Livsforsikring A/S,Standard Page Blob v2 - Standard Page Blob v2 - LRS - EU West - new  7/1/2022-7/31/2022  July   ,2.91,0.00054,7.07505,732.22,n/a,0.00,2.38,0.05
Norli Liv og Pension Livsforsikring A/S,General Block Blob - General Block Blob - LRS - new  7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.02,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Blob Storage - Blob Storage - Hot LRS - EU West - new  7/1/2022-7/31/2022  July   ,0,0.054,7.07505,0.00,n/a,0.32,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Standard Page Blob v2 - Standard Page Blob v2 - LRS - EU West - new  7/1/2022-7/31/2022  July   ,0.35,0.00054,7.07505,88.21,n/a,0.00,0.29,0.01
Norli Liv og Pension Livsforsikring A/S,Queues v2 - Queues v2 - LRS - EU West - new 7/1/2022-7/31/2022  July   ,0,0.004,7.07505,0.41,n/a,0.02,0.01,0.01
Norli Liv og Pension Livsforsikring A/S,Queues v2 - Queues v2 - GRS - EU West - new 7/1/2022-7/31/2022  July   ,0,0.008,7.07505,0.37,n/a,0.05,0.02,0.02
Norli Liv og Pension Livsforsikring A/S,Bandwidth - Bandwidth - new 7/1/2022-7/31/2022  July   ,0,0.087,7.07505,0.02,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Premium SSD Managed Disks - Premium SSD Managed Disks - P10 - EU West - new  7/1/2022-7/31/2022  July   ,133.54,21.68,7.07505,0.82,n/a,130.38,106.89,0.06
Norli Liv og Pension Livsforsikring A/S,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.00,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.00,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Bandwidth Inter-Region - Bandwidth Inter-Region - Intra Continent - Europe - new  7/1/2022-7/31/2022  July   ,1.41,0.02,7.07505,9.41,n/a,0.12,1.13,0.00
Norli Liv og Pension Livsforsikring A/S,Blob Storage - Blob Storage - Hot RA-GRS - EU West - new  7/1/2022-7/31/2022  July   ,3.35,0.049,7.07505,9.24,n/a,0.29,2.72,0.04
Norli Liv og Pension Livsforsikring A/S,Tables - Tables - GRS - new 7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.97,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Standard Page Blob v2 - Standard Page Blob v2 - LRS - EU West - new  7/1/2022-7/31/2022  July   ,0,0.00054,7.07505,20.21,n/a,0.00,0.07,0.07
Norli Liv og Pension Livsforsikring A/S,Azure Bastion - Azure Bastion - Basic - new 7/1/2022-7/31/2022  July   ,0,0.087,7.07505,1.68,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Tables - Tables - GRS - new 7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.00,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Tables - Tables - GRS - new 7/1/2022-7/31/2022  July   ,0,0.06,7.07505,0.00,n/a,0.36,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Storage - Bandwidth - Storage - Bandwidth - Geo-Replication - EU West - new  7/1/2022-7/31/2022  July   ,0,0,7.07505,0.37,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Bandwidth Inter-Region - Bandwidth Inter-Region - Inter Continent - Intercontinental - new  7/1/2022-7/31/2022  July   ,0,0.05,7.07505,0.11,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Load Balancer - Load Balancer - new 7/1/2022-7/31/2022  July   ,0.61,0.005,7.07505,17.05,n/a,0.03,0.51,0.02
Norli Liv og Pension Livsforsikring A/S,General Block Blob - General Block Blob - LRS - new  7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.00,n/a,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Azure Bastion - Azure Bastion - Basic - new 7/1/2022-7/31/2022  July   ,1736.74,0.19,7.07505,1216.00,n/a,1.14,1389.43,0.04
Norli Liv og Pension Livsforsikring A/S,Storage - Bandwidth - Storage - Bandwidth - Geo-Replication v2 - EU West - new  7/1/2022-7/31/2022  July   ,1.41,0.02,7.07505,9.41,n/a,0.12,1.13,0.00
Norli Liv og Pension Livsforsikring A/S,Power BI Premium Per User - Power BI Premium Per User - cycleCharge  7/12/2022-8/11/2022  July   ,125.9,100.72,1,1.00,25.0,125.90,125.90,25.18
Norli Liv og Pension Livsforsikring A/S,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  7/1/2022-7/31/2022  July   ,1058.4,10.08,1,84.00,25.0,12.60,1058.40,211.68
Norli Liv og Pension Livsforsikring A/S,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  7/13/2022-7/31/2022  July   ,-648.48,10.08,1,84.00,25.0,-7.73,-648.90,-129.78
